key	description	normative	nominative	genitive	nonreflexive_verb_past	dative	accusative	instrumental	prepositional	instrumental_with_preposition	genitive_with_preposition	reflexive_verb_past	short_adjective	adjective	possessive	definitive	plural	pluralHonorific	pronounceable	history	thirdForm	smallForm	sourcesInfo
оно,оно/его,оно/его/[-ло]	Нейтральный род	TRUE	оно	его	ло	ему	его	им	нём	ним	него	лось	во	ое	моё	само	FALSE	FALSE	TRUE
он,он/его,он/его/[-л]	Мужской род	TRUE	он	его	л	ему	его	им	нём	ним	него	лся	в	ый	мой	сам	FALSE	FALSE	TRUE
она,она/её,она/её/[-ла]	Женский род	TRUE	она	её	ла	ей	её	ей / ею	ней	ней	неё	лась	ва	ая	моя	сама	FALSE	FALSE	TRUE
оно/этого,оно/этого/[-о]	Нейтральный род	FALSE	оно	этого	ло	этому	это	этим	этом	этим	этого	лось	во	ое	моё	само	FALSE	FALSE	TRUE
они,они/их,они/их/[-ли]	Нейтральный род	FALSE	они	их	ли	им	их	ими	них	ними	них	лись	вы	ые	мои	сами	FALSE	FALSE	TRUE
оно/её,оно/её/[-ло]	Нейтральный род с женской формой	FALSE	оно	её	ло	ей	её	ей / ею	ней	ней	неё	лось	во	ое	моё	само	FALSE	FALSE	TRUE
оно/их,оно/их/[-ло]	Нейтральный род с нейтральной формой	FALSE	оно	их	ло	им	их	ими	них	ними	них	лось	во	ое	моё	само	FALSE	FALSE	TRUE
он_а,он_а/е_ё,он_а/е_ё/[-л_а]	Формы с гендергепами	FALSE	он_а	е_ё	л_а	е_й	е_ё	е_ю	не_й	н_ей	не_ё	л_ась	в_а	_ая	моё	сам_а	FALSE	FALSE	FALSE
оне,оне/нех,оне/нех/[-ле]	Неоместоимения	FALSE	оне	нех	ле	ем	нех	еми	нех	нех	нех	лесь	ве	ые	мои	сами	FALSE	FALSE	TRUE
он_,он_/е_,он_/е_/[-л_]	Формы с нижним подчеркиванием	FALSE	он_	е_	л_	е_	е_	е_	е_	н_	не_	лс_	в_	ы_	мо_	сам_	FALSE	FALSE	FALSE
он*,он*/е*,он*/е*/[-л*]	Формы с *	FALSE	он*	е*	л*	е*	е*	е*	е*	н*	не*	лс*	в*	ы*	мо*	сам*	FALSE	FALSE	FALSE
мур,мур/мях,мур/мях/[-лур]	Неоместоимения с кошачьей тематикой	FALSE	мур	мях	лур	мрме	мях	мех	мрме	нях	нях	лcурь	вур	ррмяур&яур&ррмяу&яу&ррмяв&яв	мав&мояв	самяу&самяв&самур	FALSE	FALSE	TRUE	Местоимения мур/мях были разработаны пользователикс твиттера \@jellyreap0p в 2021 году.
онь,онь/егё,онь/егё/[-ль]	Неоместоимения	FALSE	онь	егё	ль	имь	егё	нимь	нёмь	ними	негё	лись	вь	ые	мои	сами	FALSE	FALSE	TRUE
ксин,ксин/ксе,ксин/ксе/[-л]	Неоместоимения	FALSE	ксин	ксе	лин	ксем	ксер	ксир	ксер	ксе	ксер	лсин	вин	ер	мин	самин	FALSE	FALSE	TRUE
зи,зи/зир,зи/зир/[-ли] 	Неоместоимения	FALSE	зи	зир 	ли	зим	зир	зих	зир	зих	зир	лись	вы	ие	мой	сами	FALSE	FALSE	TRUE
хе,хе/хим,хе/хим/[-ли]	Неоместоимения	FALSE	хе	хим	ли	хем	хим	хеми	хем	хеми	хим	лись	вы	ые	моех	сами	FALSE	FALSE	TRUE
кое,кое/кою,кое/кою/[-ло]	Неопределённое местоимение	FALSE	кое	кою	ло	кою	кою	кой	кое	кой	кою	лось	во	ое	моё	само	FALSE	FALSE	TRUE
глиб,глибместоимения,глибместоимения	Местоимения, сложенные из случайных букв	FALSE	рлвоыд&врлб&лвдв&ывпрол	пврал&рылд&ыпрвол&пыровл	луркоывл&лпроывл&лкрывол	укновгыл&ывнг&пгывш&нвтщ	варолб&вапорл&нгвшыщ&пвщ	првлдыв&ыеывнг&мывит&ьыв	гуалв&прывол&првоыл&рывл	прво&овалд&пллывдж&проыв	апрвал&ндщлыол&нкорлыв	лрпваол&лавлукшдыщ&лупвр	вподл&ваыдж&вырол&выволд	пвавал&апапыол&иммсрлы	мовдщ&морукл&моуаг&мошвд	самваорлд&самыволф&садвд	FALSE	FALSE	FALSE
фрр,фрр/пррбт,фрр/пррбт/[-лур]	Неоместоимения с кошачьей тематикой	FALSE	фрр	пррбт	лур	пррбт	пррбт	пррбт	пррбт	пррбт	пррбт	лcурь	вур	ррмяу	мав&мяв	самяу&самяв	FALSE	FALSE	TRUE	Местоимения фрр/пррбт были разработаны {/\@jellyreap0p=\@jellyreap0p} на старте проекта ru.pronouns.page, будучи вдохновлёнными работой над ним.
мрр,мрр/мррп,мрр/мррп/[-лур]	Неоместоимения с кошачьей тематикой	FALSE	мрр	мррп	лур	мррп	мррп	мррп	мррп	мррп	мррп	лcурь	вур	ррмяу	мав&мяв	самяу&самяв	FALSE	FALSE	TRUE	Местоимения мрр/мррп были разработаны {/\@jellyreap0p=\@jellyreap0p} на старте проекта ru.pronouns.page, будучи вдохновлёнными работой над ним.
мя,мя/мяв,мя/мяв/[-ло]	Неоместоимения с кошачьей тематикой	FALSE	мя	мяв	ло	мяву	мяв	мявой	мяве	мявой	мяв	лось	во	ое	моё	само	FALSE	FALSE	TRUE	Местоимения мя/мяв были разработаны {/\@jellyreap0p=\@jellyreap0p} на старте проекта ru.pronouns.page, будучи вдохновлёнными работой над ним.
